,c_0,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,c_10,c_11,c_12,c_13,c_14,c_15,c_16,c_17,c_18,c_19,c_20,c_21,c_22,c_23,c_24,c_25,c_26,c_27
2096,c4ff97b04d087c97fd9bcee05672ade6,H,20150612,20160422203558,20160422,203558,42.0,3564.0,2170.0,216.0,28.0,131.0,3332.0,1227.0,986.0,125.0,64.0,5734.0,34.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,45.0,골프장
2121,c4ff97b04d087c97fd9bcee05672ade6,H,20150612,20160422224800,20160422,224800,14.0,1283.0,814.0,43.0,26.0,104.0,1192.0,542.0,310.0,53.0,0.0,2097.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,6.0,아파트
2132,c4ff97b04d087c97fd9bcee05672ade6,H,20150612,20160423000137,20160423,000137,112.0,4815.0,1542.0,441.0,68.0,201.0,2309.0,689.0,430.0,1304.0,1625.0,6357.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,음식점
2138,c4ff97b04d087c97fd9bcee05672ade6,H,20150612,20160423015206,20160423,015206,1.0,142.0,157.0,10.0,7.0,45.0,269.0,30.0,0.0,0.0,0.0,299.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,애견호텔
2139,c4ff97b04d087c97fd9bcee05672ade6,H,20150612,20160423015724,20160423,015724,2.0,99.0,4.0,3.0,79.0,144.0,22.0,13.0,20.0,23.0,25.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,아파트
2140,c4ff97b04d087c97fd9bcee05672ade6,H,20150612,20160423020021,20160423,020021,52.0,2218.0,812.0,7.0,67.0,197.0,973.0,208.0,666.0,750.0,433.0,3030.0,5.0,2.0,0.0,0.0,0.0,2.0,3.0,2.0,9.0,아파트
2192,c4ff97b04d087c97fd9bcee05672ade6,H,20150612,20160423094548,20160423,094548,24.0,2288.0,1807.0,149.0,23.0,142.0,2864.0,567.0,391.0,242.0,31.0,4095.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,24.0,애견샵
2225,c4ff97b04d087c97fd9bcee05672ade6,H,20150612,20160423115427,20160423,115427,27.0,2863.0,2137.0,1.0,21.0,93.0,3217.0,1219.0,559.0,5.0,0.0,5000.0,34.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,66.0,호텔
2266,c4ff97b04d087c97fd9bcee05672ade6,H,20150612,20160423134440,20160423,134440,1.0,305.0,482.0,25.0,5.0,44.0,742.0,45.0,0.0,0.0,0.0,787.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,학교/학원
2315,c4ff97b04d087c97fd9bcee05672ade6,H,20150612,20160423155957,20160423,155957,3.0,504.0,314.0,3.0,15.0,51.0,615.0,203.0,0.0,0.0,0.0,818.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,병원
2352,c4ff97b04d087c97fd9bcee05672ade6,H,20150612,20160423173141,20160423,173141,8.0,863.0,271.0,23.0,30.0,79.0,528.0,494.0,112.0,0.0,0.0,1134.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,아파트
2374,c4ff97b04d087c97fd9bcee05672ade6,H,20150612,20160423183735,20160423,183735,3.0,482.0,89.0,8.0,23.0,79.0,382.0,151.0,38.0,0.0,0.0,571.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,경노당
2392,c4ff97b04d087c97fd9bcee05672ade6,H,20150612,20160423193128,20160423,193128,6.0,635.0,173.0,6.0,30.0,77.0,385.0,309.0,114.0,0.0,0.0,808.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,학교/학원
2413,c4ff97b04d087c97fd9bcee05672ade6,H,20150612,20160423202241,20160423,202241,5.0,550.0,191.0,6.0,29.0,87.0,372.0,273.0,96.0,0.0,0.0,741.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,아파트
2417,c4ff97b04d087c97fd9bcee05672ade6,H,20150612,20160423204153,20160423,204153,8.0,807.0,419.0,4.0,28.0,94.0,676.0,364.0,181.0,5.0,0.0,1226.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,골프장
2426,c4ff97b04d087c97fd9bcee05672ade6,H,20150612,20160423211738,20160423,211738,5.0,592.0,545.0,119.0,20.0,68.0,726.0,364.0,47.0,0.0,0.0,1137.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,아파트
2438,c4ff97b04d087c97fd9bcee05672ade6,H,20150612,20160423220335,20160423,220335,35.0,3459.0,1708.0,23.0,27.0,94.0,3065.0,1116.0,971.0,15.0,0.0,5167.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,39.0,마트
2446,c4ff97b04d087c97fd9bcee05672ade6,H,20150612,20160423233032,20160423,233032,3.0,402.0,127.0,14.0,26.0,79.0,282.0,213.0,34.0,0.0,0.0,529.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,마트
2448,c4ff97b04d087c97fd9bcee05672ade6,H,20150612,20160423234227,20160423,234227,1.0,176.0,875.0,5.0,3.0,42.0,993.0,58.0,0.0,0.0,0.0,1051.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,아파트
2452,c4ff97b04d087c97fd9bcee05672ade6,H,20150612,20160424001130,20160424,001130,26.0,2885.0,825.0,13.0,27.0,88.0,2108.0,1141.0,461.0,0.0,0.0,3710.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,16.0,아파트
2459,c4ff97b04d087c97fd9bcee05672ade6,H,20150612,20160424013856,20160424,013856,6.0,800.0,399.0,32.0,20.0,61.0,769.0,427.0,3.0,0.0,0.0,1199.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,아파트
2477,c4ff97b04d087c97fd9bcee05672ade6,H,20150612,20160424082750,20160424,082750,8.0,1081.0,1128.0,112.0,15.0,74.0,1657.0,458.0,94.0,0.0,0.0,2209.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,음식점
2486,c4ff97b04d087c97fd9bcee05672ade6,H,20150612,20160424090556,20160424,090556,5.0,505.0,282.0,8.0,29.0,92.0,468.0,113.0,201.0,5.0,0.0,787.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,아파트
2555,c4ff97b04d087c97fd9bcee05672ade6,H,20150612,20160424132739,20160424,132739,12.0,1171.0,695.0,269.0,25.0,89.0,1116.0,443.0,307.0,0.0,0.0,1866.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,펜션
2594,c4ff97b04d087c97fd9bcee05672ade6,H,20150612,20160424163333,20160424,163333,24.0,1972.0,491.0,13.0,38.0,108.0,951.0,884.0,544.0,84.0,0.0,2463.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,27.0,아파트
2603,c4ff97b04d087c97fd9bcee05672ade6,H,20150612,20160424171539,20160424,171539,3.0,371.0,359.0,21.0,16.0,64.0,513.0,200.0,17.0,0.0,0.0,730.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,아파트
2606,c4ff97b04d087c97fd9bcee05672ade6,H,20150612,20160424173037,20160424,173037,14.0,1397.0,616.0,57.0,28.0,127.0,1231.0,458.0,234.0,78.0,12.0,2013.0,19.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,27.0,애견호텔
2635,c4ff97b04d087c97fd9bcee05672ade6,H,20150612,20160424184138,20160424,184138,1.0,250.0,215.0,57.0,15.0,67.0,373.0,74.0,18.0,0.0,0.0,465.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,음식점
2653,c4ff97b04d087c97fd9bcee05672ade6,H,20150612,20160424195657,20160424,195657,24.0,2316.0,1956.0,713.0,22.0,139.0,2880.0,803.0,471.0,106.0,12.0,4272.0,21.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,38.0,오피스
2693,c4ff97b04d087c97fd9bcee05672ade6,H,20150612,20160424235557,20160424,235557,2.0,222.0,20.0,12.0,39.0,75.0,62.0,134.0,46.0,0.0,0.0,242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,경노당
